Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Mágico y sensorial,"No cabe duda que es el corazón de la ciudad de México. Es una foto de siglos de antigüedad, desde verla es única, al entrar te sientes conectado con lo sacro e histórico. Es algo imperdible en la ciudad para propios y de extraños.",,5,"Ciudad de México, México",23 de febrero de 2020,feb de 2020
Inolvidable! ,"Después de verla en tantas fotos durante tantos años, esta mole enorme que se levanta en el centro de una ciudad tan dinámica y admirable, solo puede asombrarte! Una de las Iglesias más preciosa y grandes que he visto en mi vida, con cada detalle me podría pasar horas sumido en la más pura admiración! Sin duda de mis sitios favoritos de CDMX!",,5,"Miami, FL",23 de febrero de 2020,ago de 2019
Sagrado y precioso lugar,Un joya arquitectónica muy preciada tanto para la historia del arte como para el catolicismo. Impresionante el órgano y los altares. Tiene muchos aposentos de oración bellamente decorados y una historia muy rica en general.,,5,"San Ramón, Costa Rica",21 de febrero de 2020,ene de 2020
La más grande,"La Catedral es el Templo mas importante de México, su arquitectura es única y tiene muchos aspectos para visitar, el retablo de los reyes una obra del barroco magnifica, las capillas de los costados, en una de ellas estan los restos de Agustín de Iturbide, la sacristia un lugar hermoso, su coro que ademas funciona y es impresionante, el sotano donde esta la cripta de los arzobispos, los basamentos de los edificios aztecas aunque no estan abiertos al público, por desgracia debido a los daños no es posible acceder alos campanarios, cosa que antes si se podia y no se puede dejar de visitar y admirar el Sagrario Metropolitano, posiblemente las portadas mas ricas del barroco de toda la Ciudad de México",,5,"Ciudad de México, México",18 de febrero de 2020,ene de 2020
Visita por servicio religioso,"Es el templo representativo de la CDMX,en su interior hay historia, en todos los retablos,el altar mayor así cómo, si arquitectura clásica española.No es recomendable ir en automóvil puesto qué, es el corazón del Centro Histórico.",,5,"Ciudad de México, México",17 de febrero de 2020,ene de 2020
Hermoso templo,"Mucha historia la que contiene este templo, muy bien conservada, una construcción fuerte y resistente y para los Catolicos una bella iglesia.",,5,"Ciudad de México, México",16 de febrero de 2020,jun de 2019
Precioso órgano,"Es una joya arquitectónica que vale la pena detenerse a contemplar en todo los rincones del Templo tanto al interior como al exterior de este en sus detalles, adornos y motivos artísticos. ",,5,"San Ramón, Costa Rica",16 de febrero de 2020,ene de 2020
Iglesia grande,Vale la pena detenerse en esta iglesia de camino al Historico Centro. Se sentía tan grande como la Parroquia de la Asunción. Tiene techos altos y estatuas ornamentadas.,,4,"Sídney, Australia",8 de febrero de 2020,ene de 2020
Magnífica,Impresionante tanto por sus dimensiones como por su historia. Ubicada a un costado del zócalo de Ciudad de México.,,5,"Los Angeles, Chile",2 de febrero de 2020,ene de 2020
Hermosa e imponente,"Es una catedral hermosa y enorme. Situada en el centro, en el zócalo. Una visita obligada en Mexico, no te llevara mucho tiempo. Por fuera la considero mas bonita.",,5,"Essen, Alemania",30 de enero de 2020,ene de 2020
Catedral y Sagrario,"Construcción imponente en el centro histórico de la ciudad. Una de las más grandes de Latinoamerica.Paso obligado si eres católico, si no, puedes apreciarla de todas formas por su calidad arquitectónica.",,5,"Santiago, Chile",22 de enero de 2020,ene de 2020
Imperdible ,"Es un sitio sumamente hermoso, se disfruta la arquitectura, y si se va en visita guiada, puede aprenderse muchísimo de la historia del México virreinal.La única pega, es que hay demasiada gente, pocos guías y a veces los servicios religiosos limitan el acceso (aunque esto último es comprensible, cuestión respetable). ",,4,"Ciudad de México, México",19 de enero de 2020,jul de 2019
CDMX,"Bella Catedral, pequeña en su interior al público. Misas, es un monumento vivo. Frente al zócalo, en los alrededores de este hay restaurantes que ofrecen terraza, ideal para una comida alrededor de las 5 pm.",,5,,18 de enero de 2020,ene de 2020
templo impresionante,"es una obra majestuosa en cada uno de sus detalles, si visitan el zocalo esta una de las paradas obligatorias",,5,Costa Rica,6 de enero de 2020,dic de 2019
Es una de las iglesias más hermosas de México,"Es una de las iglesias más grandes de México df, los detalles, lo religioso,Vel ambiente católico, sus imágenes, su historia, su cultura y entre tantas cosas más.No hay una forma expresa en la que uno pueda explicar lo importante y importante de su historia con la cultura mexicana y sus raíces .",,5,"Cartago, Costa Rica",4 de enero de 2020,ene de 2020
Espectacular lugar con vistas maravillosas de las cascadas,"Los retablos de la catedral, capillas, y toda la construcción de la catedral es majestuosa, oir misa es algo solemne, y una oportunidad única para visitarla.Las diferentes capillas tienen retablos de grandes pintores, y esta conservada super.",,5,"Oaxaca, México",1 de enero de 2020,ene de 2020
Un viaje a labella historia de Mexico 🇲🇽,"La catedral te deja ver mucha historia, así como su templo que se encuentra afuera, los danzantes y miles de artesanías y rituales, tradiciones de este querido Mexico 🇲🇽, así como comida y el caminar por las calles, te hacen remontar al pasado de cómo vivían y sus historias. Solo un consejo, tener cuidado con sus bolsas o carteras. Hay seducidas, pero más vale tener cuidado!",,4,"Ciudad de México, México",1 de enero de 2020,nov de 2019
"Historia, cultura e idiosincrasia","Para conocer a México y los mexicanos, se requiere conocer como viven su religión, por lo que también independiente de sus creencias deben visitar el Santuario a la Virgen de Guadalupe. Recomiendo ir en horario de la celebración (cuiden de no perturba la devoción de los feligreses) y realizar alguno de los tour nocturnos.El tour nocturno (19:00 hrs si mal no recuerdo), se hace a media luz, con un grupo reducido, escuchando los pasos, con lo imponente de la edificación. Si pueden, hay un tour que en febrero (2019) era los miércoles, donde se baja hasta los cimientos donde se excava en los vestigios arqueológicos (templos y estructuras aztecas) que están cubiertas por la catedral. ¿Que verán? Se encontrarán con lo esperado lo religioso, el arte plasmado en los altares, con anécdotas de la historia, joyas de pinturas en los murales, además de las narraciones de los guías y estar en los lugares que no se puede acceder durante los servicios. El guía que tuve manejaba muy bien los aspectos canónicos y las historia de cada uno de los lugares, así que además se puede tener una muy buena conversación.",,5,"Región Metropolitana de Santiago, Chile",30 de diciembre de 2019,feb de 2019
Catedral hermosa,"La catedral de la ciudad de México es un monumento histórico, hermoso por todos lados, templo religioso que conforme te adentras en el te vas maravillando; lo que contiene es un patrimonio cultural realmente maravilloso.",,5,"Monterrey, México",13 de diciembre de 2019,dic de 2019
atraccion buena,"como es de acostumbrarse siempre es habitual visitar la catedral de cada país o estado, asimismo, es parte de la cultura,  es un recorrido que no lleva más de 2 horas, la arquitectura que presenta es muy bonita, la historia que se encuentra en ella maravillosa, sin embargo debido a tantos bloqueos en ocasiones se torna un problema entrar y salir.atracción recomendable siempre y cuando no estén manifestantes.Pareciera que son más importantes los manifestantes que solo genera destrozos, que los turistas que genera derrama económica",,3,"Tlajomulco de Zúñiga, México",11 de diciembre de 2019,dic de 2019
"La Catedral Metropolitana es un excelente lugar para conocer, guarda mucha historia y tiene visitas guiadas","Hay muchas obras de arte, hay visitas guiadas a todas horas y por la noche hay una excelente opción que se llama ""Voces de Catedral"", te llevan por todo el inmueble con algunas representaciones en vivo y la explicación e historia de cada lugar, (hay que comprar boletos y reservar). Se puede entrar a la Sacristía, las Catacumbas, etc.",,5,"Ciudad de México, México",10 de diciembre de 2019,oct de 2019
"Un imponente templo, mezcla de varios estilos arquitectónicos.","Al estar edificada dentro del Centro Histórico de la Ciudad de México, es Patrimonio de la humanidad.Tiene una mezcla de arquitecturas y estilos barroco, gótico, churrigueresco y neoclásico entre otros; la fachada del Sagrario es simplemente espectacular.Sus tres altares son bellísimos, aunque el altar de los reyes de estilo barroco es algo imponente y con hermosas  esculturas talladas de reyes y reinas; la pintura de la Asunción de la Santísima Virgen María es la que le da el nombre a la Catedral.Sus dos órganos son de los más grandes del mundo y el coro es todo tallado en madera.Cada una de las capillas que se encuentran a los lados dedicadas a algún Santo o Virgen, tienen que contemplarse detenidamente, por la gran cantidad de detalles en su arquitectura, pinturas y esculturas  que poseen.El poder escuchar misa dentro de la catedral es una gran experiencia.",,5,"Ciudad de México, México",8 de diciembre de 2019,dic de 2019
Precioso interior. Lugar especial,"Este es un lugar especial para visitar, tranquilo y con una hermosa pantalla detrás del altar. Es imprescindible cuando se está en el centro.",,5,"Nashville, TN",7 de diciembre de 2019,dic de 2019
magnifica fachada,"el mejor edificio del centro histórico, con una excelente fachada,el tamaño es impresionante, al estar en restauración solo la pude ver por fuera, lástima pero lo que se puede ver afuera es ya todo un placer para la vistalugar de reunión de fieles Mexicanos en el Zocalo",,5,"San Rafael, Costa Rica",28 de noviembre de 2019,nov de 2019
Maravillosa,"La Catedral Metropolitana es verdaderamente una belleza, imponente y mágica. Conocí Notre Dame y, no le pide nada a la mexicana.",,5,"Tuxtla Gutiérrez, México",23 de noviembre de 2019,oct de 2019
Impresionante ,"Un lugar con mucha historia y grandes obras artísticas, vale la pena su visita, centro religioso por excelencia de los católicos",,4,"Macuspana, México",20 de noviembre de 2019,nov de 2019
clásica y hermosa,"Clásica y hermosa, monumento histórico y religioso especial, ruta obligada en peregrinación católica",,5,"Medellín, Colombia",10 de noviembre de 2019,may de 2019
Lugar religioso,En el Zócalo y muy bien ubicado. Tienen eucaristía cada hora y cerca hay otras iglesias que también están divinas. ,,5,"Medellín, Colombia",9 de noviembre de 2019,nov de 2019
Un sitio con tradición,"El esplendor de su diseño arquitectónico es impresionante. Los iconos religiosos, la altura e imponencia de sus naves, llaman al recogimiento e inspiran tranquilidad.  Es un sobrio ejemplo de las antiguas construcciones de la cristiandad, Falta organizar un poco la presentación de los accesos desde el frente exterior.",,4,,6 de noviembre de 2019,oct de 2019
Muy bonito,"Hay que conocer de todo, la Catedral Metropolitana tiene obras de arte muy importantes se puede hacer un recorrido por las catacumbas o simplemente sentarse a escuchar la misa en sus diferentes áreas.",,5,"Morelia, México",6 de noviembre de 2019,oct de 2019
"Catedral Metropolitana de la Ciudad de México, Templo Mayor y otros templos y edificios de la zona Centro de la CDMX","Se vive un ambiente de seguridad en el centro de la CDMX. Puedes encontrar vriedad de restaurantes y centros comerciales aparte de los atractivos turisticos con esos edificios tan bellos construidos en el tiempo de la c""Colonia"" o posteriores.Todo te invita a regresar.",,5,"Chilapa de Alvarez, Guerrero, México",6 de noviembre de 2019,sept de 2019
el ombligo de la ciudad de mexico,"realmente entrar a esta imponente catedral en la ciudad de mexico y saber que existe en sus extrañas el ombligo y/o centro de la ciudad desde sus inicios prispanicos  de mexico , no lo creeras ,hasta que con tus propios ojos lo vean y lo vivan , si vienen de visita a la ciudad de mexico . seria imperdonable no visitar esta belleza arquitectonica .",,5,"Ciudad de México, México",4 de noviembre de 2019,ene de 2019
Hermosa iglesia,Hermosa iglesia en la plaza en el Centro Hist rico. Puedes (y definitivamente deberías) entrar cuando la iglesia abre sus puertas para misa varias veces al día. Hay tanto que ver por dentro!,,5,"San Diego, CA",1 de noviembre de 2019,nov de 2019
Un monumento admirable,"Debes visitar todo el interior, comprate un recuerdo o veladoras para prender ahí mismo.e la inclinación del hilo de acero para comprender como la están ajustando con ingeniería del subsuelo",,5,"Ciudad de México, México",25 de octubre de 2019,oct de 2019
Una joya arquitéctonica!,"Imperdible en el centro histórico! Una joya arquitectónica, en la que curiosamente será la única catedral que veas con dos reyes en su establo! Nunca lo he visto en otra parte del mundo!",,5,"Barcelona, España",15 de octubre de 2019,sept de 2019
Belllisima e historico,Es una construcción monumental cargada de mucho simbolismo religioso herencia del pasado del puebli mexicano. Se destaca la magnificencia de esta joya arquitectónica. Un lugar de visita obligada.,,5,"Asdod, Israel",11 de octubre de 2019,oct de 2019
Me encanta la catedral,"Me encanta este edificio ya que sientes que regresas en el tiempo. La construcción es realmente hermosa, y me encanta que esté chueca, realmente se está hundiendo. La última vez tuve la suerte de que estuvieran tocando el órgano. Creo que me tocó mucha suerte. Fue una experiencia increíble.",,5,"Ciudad de México, México",9 de octubre de 2019,feb de 2019
Un paseo en el Zócalo,"Construcción hispánica de gran valor arquitectónico. Deslumbra el lujo de los altares, todos de madera laminados en oro, de quienes profesan todo lo contrario. Es una visita obligatoria para los que profesan esa religión y también para quienes como yo, son críticos en esta religión. ",,5,,7 de octubre de 2019,sept de 2019
Hermosa,La catedral Metropolitana es bellísima!!! Un edificio hermoso por fuera y por dentro. Cuando se visita el zócalo lo primero que se ve es la catedral. Muy recomendable.,,5,"General Pacheco, Buenos Aires, Argentina",27 de septiembre de 2019,ago de 2019
Una preciosidad.,"Hace 20 años la visité por primera vez. Estaba en obras, ya que los cimientos tenían problemas al estar encima de una laguna. Esta vez la hemos podido disfrutar en toda su plenitud y nos ha gustado. ",,4,"Tarragona, España",25 de septiembre de 2019,sept de 2019
Preciosa,La Catedral es imponente y grandiosa al verla por dentro entendí por qué se demoraron tantos siglos  en costruirla,,5,,13 de septiembre de 2019,sept de 2019
Majestuosa,"Tanto la catedral como sus alrededores están cargados de historia, hay que visitarla y encontrase con lo que ella nos cuenta, es encontrarse con la vivencia de Mexico y sus gentes a través del tiempo",,5,"Envigado, Colombia",12 de septiembre de 2019,sept de 2019
Muy hermosa,"Esta en el zocalo, es una parada obligada, su arquitectura y el desgaste que presenta por las condiciones climaticas dan una imagen que sorprende.",,5,"Cali, Colombia",10 de septiembre de 2019,oct de 2018
Primera visita,"Lugar seguro para visitar en el Zocalo, tomar fotos de le iglesia y sus alrededores o incluso para un primer encuentro espiritual",,5,"Quito, Ecuador",9 de septiembre de 2019,ago de 2019
Catedral," Grandiosa Catedral en la Plaza del Zócalo, es espectacular con sus dos torres de 65m., hoy cerradas por remodelación. A imagen de las catedrales españolas. Se empezó en el siglo XVI y se acabo en el XIX",,4,"Barcelona, España",9 de septiembre de 2019,ago de 2019
cristiandad,es un lugar donde la uno puede admirar las formas d una creencia muy peculiar xq se encuentra a un lado de unas ruinas prehispanicas,,5,,5 de septiembre de 2019,oct de 2018
ES UNA OBRA MONUMENTAL DE ARQUITECTURA 250 AÑOS EN SU CONSTRUCCION,"LA CATEDRAL METROPOLITANA esta obra comenzo en 1573 y se termino en 1813 fue construida por varios arquitectos de las epocas ya tardaron 250 años en terminarla  por tal motivo tiene diversos estilos como :GOTICO,CHURRIGUERESCO,BARROCO Y NEOCLASICO;ES LA SEDE DE LA ARQUIDIOCESIS PRIMADA DE MEXICO",,5,"Estado de México, México",4 de septiembre de 2019,ago de 2019
Pendulo,No pudimos verla bien ya que empezaba la. Misa pero lo más curioso es un péndulo en el pasillo central que marca lo que se ha ido inclinando la catedral ya que México está sobre una laguna.,,3,"Sant Quirze del Vallès, España",31 de agosto de 2019,ago de 2019
Catedral,"A lo largo y a lo ancho de todo mexico esta plagado de templos y catedrales ,pero reconozco que algunas como la catedral metropolitana sorprenden a cualquiera.",,4,"Buenos Aires, Argentina",29 de agosto de 2019,jul de 2019
"Hermosa, simplemente","Visita obligada. Existen normas de vestimenta para entrar, por ser un lugar religioso.Generalmente hay celebraciones (misas) y puedes también asistir a recorridos dentro de la catedral y subir al campanario. Esta abierta al público de 8 de la mañana a 8 de la noche. Altamente recomendable si vienes de visita a La Ciudad de México",,5,"Ciudad de México, México",25 de agosto de 2019,ago de 2019
Zocalo florido,"Disfruta el zocalo de la CdMx, cuando lo adornan con diferentes motivos. Esta ocasión por aniversario luctuoso de Frida Kalho",,5,"Ciudad de México, México",25 de agosto de 2019,jun de 2019
Impresionante,"Mis visitas a la catedral son continuas por vivir en la ciudad,la razón es que es impresionante su arquitectura, su interior me atrapa con su majestuosidad e invita a lareflexión; no solo por la religión sino por sus retablos, sus capillas, su antigüedad, entre otros detalles, entrar con la mente abierta para su observación es un buen principio. además que su observación externa tambien es impresionante.",,5,"Ciudad de México, México",17 de agosto de 2019,jul de 2019
Preciosa Catedral,"Situada en pleno centro. Muy hermosa por dentro y por fuera. Dejan entrar y hacer fotos, me imagino que solo cuando no hay misa y siempre respetando a los fieles. Preciosa arquitectura y decoración religiosa.",,5,"Barcelona, España",14 de agosto de 2019,ago de 2019
Equilibrio en Campanas,"Es emocionante y con un carga de adrenalina el subir al campanario de la Catedral Metropolitana ya que los escalones están pequeños y hay que estar alertas en todo momento sobre todo cuando bajas,",,4,"Ciudad de México, México",8 de agosto de 2019,abr de 2019
Un lugar lleno de Historia,Conocer la Catedral Metropolitana es un poco analizar la historia de la conquista y la evangelización.  El hundimiento y la inclinación de la Catedral es de admirar.,,5,"Naranjo, Costa Rica",7 de agosto de 2019,ago de 2019
Sincretismos religioso,"Seas o nos seas catolico considera que la catedral es un lugar de oración y respeto por lo que cuida bien como vas vestido. hay recorridos por las catacumbas durante todo el dia valen 40 pesos y puedes aprender mucho sobre la historia de los arzobispos en México, a las 6 pm puedes ver la ceremonia de Santísimo, ojo no uses flash, el señor del veneno es cristo muy venerado y muy milagroso, esta a la entrada a la derecha. no olvides caminar no solo dentro del templo si no por caparte posterior podrías ver la belleza de la arquitectura, del lado izquierdo de la catedral esta una estatua de Juan Pablo II.",,5,,6 de agosto de 2019,jul de 2019
Maravillosa construccion y sitio turistico,Un buen lugar para visitar un fin de semana y apreciar la histori y altaresw que tiene con muchas cosas que admirar,,5,,6 de agosto de 2019,jun de 2019
Sacristía Mayor y Tours en catedral,"Hace aproximadamente 10 años, me parecía muy difícil acceder a otras áreas de la Catedral Metropolitana que no fueran el altar y algunas de las capillas,sin embargo, ahora hay tours a la Cripta de los Arzobispos con un costo de $40 por persona y te dejan entrar a la Sacristía Mayor por tan solo $10 (ésta sólo si se encuentra abierta, casi únicamente al medio día). También hay un tour especial con un costo de $100 los días sábados en donde hacen un recorrido por la Catedral, las criptas y los basamentos prehispánicos de la misma, por lo que es una excelente opción si tienes ganas de aprender más de la historia cultural y religiosa de nuestra ciudad.",,5,"Ciudad de México, México",6 de agosto de 2019,jul de 2019
Antigua e histórica,"Arquidiocesis primada de mexico cuya construcción tuvo mas de 250 años. Lo preocupante es que se está hundiendo e inclinando a los dos costados, sin embargo estan tomando medida para su preservación. Hermoso lugar ubicado en pleno zócalo.",,5,"Cochabamba, Bolivia",29 de julio de 2019,jun de 2019
Parte de nuestra historia,"Independientemente de tu creencia  o religión , siempre es interesante visitarla  tanto adentro como a sus alrededores ya que a pesar de que los españoles la edificaron sobre nuestras ruinas, puedes ver cómo afuera continúan haciendo limpias y orando a los dioses mexicas ",,4,"México Central y Costa del Golfo, México",27 de julio de 2019,jul de 2019
Muy lindo edificio y muy antiguo.,"El edificio es muy antiguo, vale la pena verla solo que no tiene indicaciones ni carteles con detalles.",,4,"Montevideo, Uruguay",25 de julio de 2019,jul de 2019
Sencillamente una edificación magnífica ,"Es impresionante el tamaño, acabados e historia de esta catedral que ha sido edificada sobre el cito más importante de los Mexicas de la era antes de la conquista.",,5,"Provincia de Puntarenas, Costa Rica",23 de julio de 2019,jul de 2019
HERMOSA !!,Hermoso lugar para admirar la arquitectura religiosa en su máximo esplendor. Igualmente el entorno es apropiado para recorridos a pie.,,5,"Barrancabermeja, Colombia",22 de julio de 2019,jul de 2019
Vale la pena por entrar a verla y la cercanía a las excavaciones arqueológicas.,Al estar en la catedral podrá admirar los edificios que conforman el zócalo y las ruinas encontradas de la civilización azteca. A unos pasos interesantes calles peatonales como la Madero y decenas de tiendas.,,4,"Ciudad de México, México",21 de julio de 2019,sept de 2018
Joya del catolicismo,Si les gusta el arte sacro es una visita obligada ubicada en el centro de la ciudad.Es una construcción impresionante que se empezó en 1573 y tardó más de 2 siglos en terminarse la puedes comparar con las más bonitas del país y con algunas del mundo.,,4,"Ciudad de México, México",17 de julio de 2019,abr de 2019
La Catedral Metropolitana ,"No soy religioso , pero encuentro en la Catedral Metropolitana un espacio imprescindible para visitar, sobre todo si se viene de afuera.Los detalles arquitectónicos son variados en esta construcción católica que data de los tiempos de la Conquista de Mexico. Entender la historia de Mexico es comprenderla en toda su extensión. Uno de los temas fascinantes es la estabilización que se logró en la Catedral debido al hundimiento que ha tenido por más de 500 años de historia. Se dice fácil, pero de ahí radica el interés por visitar este espacio. El desahogo progresivo del agua del subsuelo ha tenido consecuencias notables, mencionando por igual que debajo llamen diversas formaciones piramidales del Templo Mayor.El acceso a la catedral es gratuito, como es un recinto sagrado se recomienda ropa poco escotada o que se vea muy ligera. Si bien es cierto hay gente qué pasa sin mayor problema, el código de vestimenta es lo más austero que se pueda. Además de poder apreciar el órgano original, hay un acceso al techo de la catedral que muestra un punto de vista único donde puede apreciarse una espléndida vista del zócalo. Alrededor hay gente, en la que se pueden disfrutar de restaurantes y cafeterías. En lo personal me parece muy turístico, pero la atención y comida sobre todo de hoteles es en verdad espectacular. Guías son recomendados. No hay baños cerca así que a tomar precauciones. Si hablara La Catedral, lo que no diría!",,3,"Ciudad de México, México",12 de julio de 2019,jul de 2019
Lugar historico,"Es un lugar para la oración de miles de creyentes católicos, pero también un símbolo de la colonia. Abajo en los cimientos puedes ir a la exposición de las catacumbas y también apreciar el arte sacro en sus instalaciones. Aún hay misas cada día.",,5,,4 de julio de 2019,may de 2019
Impresionante,Es una de las catedrales más impresionantes que uno se puede encontrar. El entorno es contrastante y por dentro se puede estar horas viendo los detalles de todas las capillas.,,5,"Buenos Aires, Argentina",25 de junio de 2019,jun de 2019
Siempre cuestionable,Siempre cuestionable porque al estar pegada esta construcción al Museo del Templo Mayor me pregunto que maravillas de los mexicas podríamos encontrar debajo de esta extraordinaria construcción legado de los españoles.Imperdonables perderse esta visita. ,,5,"Ciudad de México, México",24 de junio de 2019,may de 2019
Hermosa Catedral,"Al visitar el Zócalo, no puedes dejar de entrar a la catedral, impresionante. Como todo lugar en la ciudad esta lleno de historia.",,5,"Ciudad de Panamá, Panamá",14 de junio de 2019,jun de 2019
Reseña,"Un icono arquitectónico, al cual le falta mantenimiento, pero es un lugar i.perdible de la.ciudad de México. ",,5,"León, México",11 de junio de 2019,jun de 2019
Emblemática ,"El acceso es muy simple y se ofrecen guías que dan explicación. Adentro  hay tiendas que  venden artículos religiosos o bien, puedes  obtener un souvenir tipo llavero de los  forjados al girar engranes y anexar una moneda. ",,5,"Metepec, México",10 de junio de 2019,jun de 2019
Muy descuidada,"Hermosa nuestra Catedral por fuera...lástima que por dentro el Altar Mayor esté tan descuidado, tiene años que no le dan mantenimiento, los objetos son antiguos pero descuidados la lámina de oro que deberían de tener es tierra, mugre acumulada, es una lástima ya que es nuestra representación católica ante el mundo.",,2,"Ciudad de México, México",4 de junio de 2019,mar de 2019
Impresionante ,La Catedral es un sitio hermoso que cuenta con 16 capillas laterales y su majestuoso estilo barroco. ,,5,"Montería, Colombia",3 de junio de 2019,may de 2019
Hermosa!!!!!,"Ubicada en el Centro Histórico de la CDMX, la Catedral Metropolitana es hermosa e impactante. Por fuera y por dentro. Recomiendo visitarla y quedarse a la celebración de la Santa Misa. Es una experiencia reconfortante.",,5,,2 de junio de 2019,may de 2019
Impactante,"Es un lugar inmenso con un órgano imponente, tiene gran cantidad de ornamentación y muchos cuadros. Desde el campanario se puede apreciar una hermosa vista",,5,"La Habana, Cuba",30 de mayo de 2019,may de 2019
Visita obligada,"Es de gran formato y contiene una impresionante ornamentación,altar y capillas, así como cuadros y coro, púlpito y acabados en madera tallada colonial. Siendo invalorable, si me sorprendió el estado en qu se encuentran gran parte de las capillas y las pinturas que no parecen haber sido mantenidas ni restauradas, eran tan oscuras que casino se puede ver la obra. Siendo Catedral la edificación mas importante de los católicos en Mexico, junto con la Villa, merece un mejor mantenimiento.",,4,"Lima, Perú",19 de mayo de 2019,abr de 2019
Impresionante,"El lugar es hermoso, el órgano es majestuoso pero si puedes preguntar por el tour de los campanarios mejor.",,5,,18 de mayo de 2019,abr de 2019
Paseo por el campanario,"Excelente vista, subir al campanario, el guía muy buen informado. Llevar ropa cómoda tenis, gorra. Y posteriormente admirar todo el interior de la catedral.",,5,"Ciudad de México, México",12 de mayo de 2019,ene de 2019
De visita obligada!,"Es un edificio muy bonito, con altares, capillas y un órgano de tubos impresionante! Pregunta también por el tour a las catacumbas. No es muy impresionante esa parte pero, es interesante y no te tomará más de 30 minutos",,4,"Cuauhtémoc, México",7 de mayo de 2019,may de 2019
Maravilla citadina,"Déjate envolver por la magia y misticismo de uno de los edificios más emblemáticos de nuestra capital. Puedes encontrar servicios religiosos a cualquier hora del día. Sé respetuoso y prudente con los feligreses, turistas y ciudadanos tanto del interior como exterior del recinto ",,5,"Culiacán, México",7 de mayo de 2019,mar de 2019
Catedral Metropolitana de CD MX ,"Esta iglesia es una joya, no dejen de visitarla, recorrer sus pasillos, contemplar  sus obras de arte y admirar su arquitectura. El acceso al recinto es gratuito.",,5,,6 de mayo de 2019,abr de 2019
Magna Construcción,"Magna Construcción  erigida en un sitio de gran significación  religiosa, pues bajo sus cimientos descansan templos Mexicas, de hecho cantidad de las piedras utilzadas en su construcción formaban parte de los templos Aztecas.Su historia se remonta al siglo XVI y expone diversos estilos arquitectónicos.En el Medallón central de la fachada se puede apreciar el escudo Nacional con el águila frontal.Sin duda que les una de las visitas imperdibles de la ciudad de México.Disfruta de la Catedral Metropolitana de la Ciudad de México porque: ¡La VIDA...es un VIAJE!",,5,"Ciudad de México, México",29 de abril de 2019,mar de 2019
"A rey muerto, rey puesto","Tres años después de concluida la conquista, en 1524, Hernán Cortés  mandó construir una iglesia en el lugar donde se situaba el Templo Mayor azteca, aprovechando la propia piedra de cantera gris. Erigida como monumental templo católico entre contratiempos y catástrofes, de predominio barroco, debió de andar  3 siglos hasta abrir sus puertas. Situada frente a El Zócalo y símbolo de la conquista. Imponente y gris. Es la más grande de latinoamérica. Junto al conjunto de edificios que rodean la plaza principal de la ciudad constituyen el alma de todos los Méxicos de la historia. Una visita ineludible. Entrada gratuita.",,4,"Rosario, Argentina",28 de abril de 2019,oct de 2018
Impresionante ,"Me gusto mucho , sus espacios y bóvedas son gigantes , su arquitectura de la época , la recorres rápido , pero con gusto ",,5,"Puebla, México",28 de abril de 2019,abr de 2019
Voces de Catedral,"Los miércoles en la catedral hay una representación que combina historia, musical y arte de la catedral. Es un espectáculo maravilloso, en donde conoces la historia de la catedral, la visitas desde otro aspecto y escuchas los órganos majestuosos.Los actores son fenomenales.Vale 100 % Todos los miércoles a las 20:00 hrs. del 20 de febrero a noviembre de 2019.La propuesta teatral tiene una duración de 90 minutos aproximadamente.Para mayores informes y compra de boletos llamar al tel. 4165 4013 ó en el módulo de misas de la catedral.Costo 350.00 pesos por persona",,5,"Ciudad de México, México",27 de abril de 2019,abr de 2019
imperdible,"te recomiendo or con algun guia desde tu hotel, te aseguras de conocer la historia de cada cuadro y es fantástico ",,4,"Pereira, Colombia",25 de abril de 2019,abr de 2019
Hermoso Templo,"Visita obligada en el centro de la ciudad para apreciar una de las catedrales mas bonitas de mexico, ademas de lo impresionante que se ve el moviemiento que ha tenido a lo largo del tiempo.",,5,"Aguascalientes, México",24 de abril de 2019,abr de 2019
Catedral hermosa,No se puede dejar de visitar la catedral que su historia data de los años 1500 y es un patrimonio de la humanidad. Es imperdible .,,5,"Cartago, Costa Rica",22 de abril de 2019,abr de 2019
Una joya que se hunde,"Una Catedral hermosa que tiende a hundirse cada vez más. Está en el Zócalo, lugar histórico para los mexicanos y mexicanas.",,4,La Habana,21 de abril de 2019,abr de 2019
Interesante,"Muy interesante y bonita catedral una de las más grandes y espectaculares de América , seguro que vale la pena conocerla ,",,5,"Puebla, México",20 de abril de 2019,abr de 2019
“Imponente”,"La Catedral metropolitana de la Ciudad de México es sin duda una visita obligada en la Ciudad de México, es Imponente y llena de historia.",,5,"Ciudad de México, México",17 de abril de 2019,abr de 2019
Enooorme iglesia ,"Enorme y vetusta, esplendor y polvo que recuerda a las grandes catedrales europeas. Como Notre Damme con tiendas de souvenirs en su interior... No soy fan de las iglesias, pero es hermosa, eso no lo quita nada. ",,5,"Envigado, Colombia",16 de abril de 2019,abr de 2019
Muchos años de historia,Con la misma sensacion de las catedrales españolas posee un impresionante organo y la imagen de milagro de Guadalupe,,5,"Guayaquil, Ecuador",14 de abril de 2019,mar de 2019
